Player,Opponent,DVP_Rating,Avg_Points,Games_Played,Consistency,Position
Sam Berry,HAW,6.5,53.4,7,0.53,Midfielder
Sam Berry,RIC,6.2,60.4,5,0.56,Midfielder
Sam Berry,STK,5.4,75.7,3,0.96,Midfielder
Sam Berry,SYD,5.5,68.4,5,0.0,Midfielder
Sam Berry,WCE,8.5,72.9,7,0.43,Midfielder
Rory Laird,MEL,10.0,100.9,9,0.53,Defender
Rory Laird,CAR,10.0,108.0,10,0.63,Defender
Rory Laird,COL,10.0,111.5,8,0.39,Defender
Rory Laird,ESS,10.0,98.8,10,0.67,Defender
Rory Laird,FRE,10.0,95.8,8,0.83,Defender
Rory Laird,GCS,10.0,96.7,10,0.55,Defender
Rory Laird,GEE,10.0,103.2,10,0.82,Defender
Rory Laird,GWS,10.0,96.4,10,0.45,Defender
Rory Laird,HAW,10.0,110.9,9,0.77,Defender
Rory Laird,RIC,10.0,104.5,10,0.62,Defender
Rory Laird,STK,10.0,109.4,10,0.74,Defender
Rory Laird,SYD,10.0,103.2,9,0.71,Defender
Rory Laird,WCE,10.0,110.1,10,0.81,Defender
Darcy Fogarty,MEL,5.9,51.4,8,0.4,Forward
Darcy Fogarty,CAR,4.9,50.7,7,0.0,Forward
Darcy Fogarty,COL,5.6,48.7,10,0.41,Forward
Darcy Fogarty,ESS,6.2,65.4,5,0.37,Forward
Darcy Fogarty,FRE,3.6,40.8,4,0.75,Forward
Darcy Fogarty,GCS,6.2,61.9,7,0.1,Forward
Darcy Fogarty,GEE,7.2,57.2,6,0.63,Forward
Darcy Fogarty,GWS,5.3,49.0,6,0.25,Forward
Darcy Fogarty,HAW,5.9,48.7,10,0.5,Forward
Darcy Fogarty,RIC,7.2,56.7,7,0.66,Forward
Darcy Fogarty,STK,4.3,43.8,6,0.03,Forward
Darcy Fogarty,SYD,5.0,38.7,6,0.68,Forward
Darcy Fogarty,WCE,7.7,65.3,9,0.45,Forward
Mark Keane,MEL,3.6,84.0,2,0.67,Defender
Mark Keane,CAR,2.0,43.5,2,0.89,Defender
Mark Keane,COL,5.1,65.5,4,0.43,Defender
Mark Keane,ESS,2.3,38.0,3,0.5,Defender
Mark Keane,FRE,1.0,27.0,1,0.0,Defender
Mark Keane,GCS,1.0,50.0,1,0.0,Defender
Mark Keane,GEE,3.9,65.0,3,0.52,Defender
Mark Keane,GWS,2.5,54.0,2,0.93,Defender
Mark Keane,HAW,6.5,61.4,5,0.64,Defender
Mark Keane,RIC,3.1,70.5,2,0.76,Defender
Mark Keane,STK,2.1,56.5,2,0.35,Defender
Mark Keane,SYD,1.0,48.0,1,0.0,Defender
Mark Keane,WCE,1.0,33.0,1,0.0,Defender
Mark Keane,NTH,1.0,65.0,1,0.0,Defender
Brodie Smith,MEL,10.0,85.5,6,0.63,Defender
Brodie Smith,CAR,9.3,85.6,7,0.26,Defender
Brodie Smith,COL,8.6,76.0,9,0.36,Defender
Brodie Smith,ESS,10.0,90.3,8,0.57,Defender
Brodie Smith,FRE,10.0,79.3,8,0.7,Defender
Brodie Smith,GCS,10.0,84.9,8,0.71,Defender
Brodie Smith,GEE,8.8,70.6,7,0.58,Defender
Brodie Smith,GWS,8.5,71.3,7,0.5,Defender
Brodie Smith,HAW,7.5,67.6,9,0.3,Defender
Brodie Smith,RIC,10.0,75.1,7,0.77,Defender
Brodie Smith,STK,9.6,86.4,8,0.31,Defender
Brodie Smith,SYD,8.7,69.3,7,0.62,Defender
Brodie Smith,WCE,8.8,79.3,8,0.32,Defender
Alex Neal-Bullen,MEL,1.0,65.0,1,0.0,Forward
Alex Neal-Bullen,CAR,8.8,74.4,9,0.47,Forward
Alex Neal-Bullen,COL,9.6,72.3,7,0.78,Forward
Alex Neal-Bullen,ESS,5.7,49.6,8,0.38,Forward
Alex Neal-Bullen,FRE,6.9,58.8,9,0.44,Forward
Alex Neal-Bullen,GCS,10.0,91.2,6,0.43,Forward
Alex Neal-Bullen,GEE,8.7,66.3,8,0.74,Forward
Alex Neal-Bullen,GWS,8.9,68.9,8,0.7,Forward
Alex Neal-Bullen,HAW,9.2,74.8,6,0.57,Forward
Alex Neal-Bullen,RIC,9.7,75.3,7,0.69,Forward
Alex Neal-Bullen,STK,9.4,74.0,6,0.65,Forward
Alex Neal-Bullen,SYD,9.0,72.1,8,0.6,Forward
Alex Neal-Bullen,WCE,10.0,74.4,8,0.86,Forward
Alex Neal-Bullen,ADE,9.9,72.5,8,0.84,Forward
Josh Worrell,MEL,3.9,60.0,3,0.74,Defender
Josh Worrell,CAR,3.9,65.3,3,0.49,Defender
Josh Worrell,COL,5.2,69.8,4,0.34,Defender
Josh Worrell,ESS,5.3,77.3,3,0.88,Defender
Josh Worrell,FRE,3.2,67.5,2,0.93,Defender
Josh Worrell,GCS,4.8,66.0,4,0.27,Defender
Josh Worrell,GEE,4.5,71.3,3,0.62,Defender
Josh Worrell,GWS,3.0,63.0,2,0.94,Defender
Josh Worrell,HAW,5.5,88.7,3,0.56,Defender
Josh Worrell,RIC,1.6,103.0,1,0.0,Defender
